epoch,train_log_loss,validation_log_loss,is_best
1,0.8702552756794194,0.8807967777490627,False
2,0.8608371076198044,0.879337624372147,True
3,0.8560975025726966,0.8795007887702802,False
4,0.8519139822355006,0.8798600895847616,False
5,0.8490945917084117,0.881954583244232,False
6,0.8473022445347252,0.8827793461798313,False
7,0.8467199121032574,0.8844636957390584,False
8,0.8446333848646965,0.8851741205840301,False
9,0.8431967963008093,0.8849814780501659,False
10,0.8434012810720248,0.8850658769467644,False
11,0.8411534667042052,0.8878673576003503,False
12,0.8399463870037245,0.8868565161630333,False
