epoch,train_log_loss,validation_log_loss,is_best
1,0.8686734501810126,0.8803838123279901,False
2,0.8603346735525101,0.880267526925365,True
3,0.8561578661488529,0.8841885523898997,False
4,0.8528817473222644,0.8831577607182743,False
5,0.8494972823112299,0.8834541449620968,False
6,0.8465257895144344,0.885609958492192,False
7,0.8441298481877072,0.886141580218697,False
8,0.8421851477799608,0.8866953622112056,False
9,0.8408049668122004,0.8871599440421895,False
10,0.8391835789388217,0.8869007489835933,False
11,0.8379030469814536,0.8876510874104134,False
12,0.8373582819468935,0.8910199262576571,False
