epoch,train_log_loss,validation_log_loss,is_best
1,0.8691539825260791,0.8825511274671999,False
2,0.860978189242885,0.8816843383932065,False
3,0.856067338689228,0.8806357459165783,False
4,0.8523061885083348,0.8804214967581133,True
5,0.8494660806695353,0.8811706156939076,False
6,0.8472283422758433,0.8822162924062752,False
7,0.8454561051975814,0.8816455326044623,False
8,0.8451089498852661,0.8851605157556706,False
9,0.8425743543793851,0.8834886292867923,False
10,0.8410226620336336,0.885361729564763,False
11,0.8402191448622833,0.8872100727858787,False
12,0.8391981999821551,0.8881012228933268,False
13,0.8379882786451689,0.8888228747712493,False
14,0.8376719073845258,0.8885736399163453,False
