epoch,train_log_loss,validation_log_loss,is_best
1,0.8684501898391851,0.8863932738278194,False
2,0.862037873907763,0.8846624755119913,True
3,0.8579725676892876,0.8849816753580342,False
4,0.8555473749597775,0.8856024718679618,False
5,0.8529369436276234,0.8855317280833747,False
6,0.8502679312482588,0.8852272904695084,False
7,0.8490424370116367,0.8858471189015754,False
8,0.8472523277495824,0.8862675814364176,False
9,0.8460408805225559,0.8867216803806811,False
10,0.844262014831456,0.8882956284970542,False
11,0.8436585230596348,0.8868096044566595,False
12,0.8427850997207713,0.8874342626094748,False
