epoch,train_log_loss,validation_log_loss,is_best
1,0.8670501107626809,0.8818418797301668,False
2,0.8592230320941638,0.8801789806859189,False
3,0.8556465450135222,0.8800426033707952,True
4,0.8529673882948687,0.8831575522931538,False
5,0.8507557496584459,0.8841736110224955,False
6,0.8477877700819159,0.8850326634146698,False
7,0.8461446170802974,0.8863848903184873,False
8,0.8453989274414276,0.8901520712986979,False
9,0.8432344656501062,0.8886837712803316,False
10,0.8418813371205206,0.8896727699454985,False
11,0.8414216968080831,0.8927686055833204,False
12,0.8398463608551063,0.8928127144525649,False
13,0.839047349496231,0.8931452932902855,False
