split,trades,quantity,statistic,estimate,lower,upper,std_error,positive_fraction
validation,1045,mid_pnl,total,17.550000000000182,13.61425000000009,20.525999999999975,1.7415384669401228,1.0
validation,1045,mid_pnl,mean,0.016794258373205917,0.013027990430622095,0.01964210526315787,0.0016665439875025098,1.0
validation,1045,spread_cost,total,139.02,131.357625,145.64637499999998,3.6481970142187437,1.0
validation,1045,spread_cost,mean,0.1330334928229665,0.1257010765550239,0.13937452153110047,0.003491097621261956,1.0
validation,1045,net_pnl,total,-121.47000000000355,-128.8207500000005,-113.9197500000027,3.7252948691026835,0.0
validation,1045,net_pnl,mean,-0.11623923444976417,-0.12327344497607702,-0.10901411483253846,0.0035648754728255343,0.0
test,1223,mid_pnl,total,21.069999999998345,17.924624999996603,24.34587499999924,1.6292029394210774,1.0
test,1223,mid_pnl,mean,0.017228127555190795,0.014656275551918726,0.019906684382664956,0.001332136499935468,1.0
test,1223,spread_cost,total,125.49000000000001,114.00762500000002,137.96450000000002,6.156088294647137,1.0
test,1223,spread_cost,mean,0.10260834014717908,0.09321964431725267,0.11280825838103026,0.005033596316146473,1.0
test,1223,net_pnl,total,-104.42000000000428,-115.21050000000456,-94.6280000000041,5.306274837120159,0.0
test,1223,net_pnl,mean,-0.08538021259199041,-0.09420318887980748,-0.07737367130008513,0.004338736579820244,0.0
